Fee,Breakeven AUM (Low Overhead),Breakeven AUM (High Overhead),Range
1.0%,"$6,500,000","$25,000,000",$6.50M–$25.00M
2.5%,"$2,600,000","$10,000,000",$2.60M–$10.00M
5.0%,"$1,300,000","$5,000,000",$1.30M–$5.00M
7.5%,"$866,667","$3,333,333",$0.87M–$3.33M
10.0%,"$650,000","$2,500,000",$0.65M–$2.50M
